"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BRCA2",1.97731967657527e-52,-5.18860531424815,0.212,0.133,5.9319590297258e-49,"Chemo-Macrophage","BRCA2"
"TEX41.1",2.21994257928965e-52,-26.0305862550163,0.225,0.08,6.65982773786896e-49,"Chemo-Macrophage","TEX41"
"RGS5.1",3.15812917947063e-52,-22.7813536365034,0.214,0.055,9.47438753841188e-49,"Chemo-Macrophage","RGS5"
"MEG8",8.22500874672163e-52,-27.9935582955577,0.378,0.005,2.46750262401649e-48,"Chemo-Macrophage","MEG8"
"FMNL3.1",8.44650727695576e-52,-2.35153850529742,0.281,0.12,2.53395218308673e-48,"Chemo-Macrophage","FMNL3"
"XIST.1",1.20149734511659e-51,-4.6205256300257,0.514,0.312,3.60449203534978e-48,"Chemo-Macrophage","XIST"
"PFKFB3",1.24833715128993e-51,-9.00380469397812,0.4,0.323,3.74501145386978e-48,"Chemo-Macrophage","PFKFB3"
"ARRDC3",1.95627037412696e-51,-14.9455706062979,0.251,0.143,5.86881112238089e-48,"Chemo-Macrophage","ARRDC3"
"SCOC-AS1.1",2.33110982768452e-51,-26.2560350462187,0.292,0.021,6.99332948305355e-48,"Chemo-Macrophage","SCOC-AS1"
"CENPP",2.74941855406789e-51,-18.3738929838966,0.262,0.283,8.24825566220366e-48,"Chemo-Macrophage","CENPP"
"C4orf19.1",3.20575728380355e-51,-1.56717551813219,0.214,0.053,9.61727185141067e-48,"Chemo-Macrophage","C4orf19"
"EPHA3",4.12032998041963e-51,-25.9456884696745,0.236,0.013,1.23609899412589e-47,"Chemo-Macrophage","EPHA3"
"EIF2B5.1",4.39334578325629e-51,-10.5828778951597,0.36,0.293,1.31800373497689e-47,"Chemo-Macrophage","EIF2B5"
"SYP.1",5.88422403317923e-51,-13.9086878332635,0.287,0.018,1.76526720995377e-47,"Chemo-Macrophage","SYP"
"IL32.1",5.99055241060941e-51,-10.7296460240537,0.265,0.02,1.79716572318282e-47,"Chemo-Macrophage","IL32"
"SEMA6A.1",7.20958775236267e-51,-21.0572485698143,0.234,0.042,2.1628763257088e-47,"Chemo-Macrophage","SEMA6A"
"TOX.1",9.14798753635041e-51,-28.3535939405524,0.174,0.032,2.74439626090512e-47,"Chemo-Macrophage","TOX"
"RTN4RL1.1",1.08904954080464e-50,-15.2962861222953,0.206,0.029,3.26714862241391e-47,"Chemo-Macrophage","RTN4RL1"
"RPL13.1",1.30627076214301e-50,-21.17497410894,0.411,0.211,3.91881228642904e-47,"Chemo-Macrophage","RPL13"
"DNAJB1",1.35494315448945e-50,-28.2666257587333,0.183,0.018,4.06482946346834e-47,"Chemo-Macrophage","DNAJB1"
"SIGLECL1",2.14211391727631e-50,-27.6203321883767,0.17,0.006,6.42634175182893e-47,"Chemo-Macrophage","SIGLECL1"
"SESN3",2.75133939734239e-50,-3.64944006023163,0.25,0.199,8.25401819202716e-47,"Chemo-Macrophage","SESN3"
"IL1RAPL2",2.91475258803358e-50,-26.7600584763587,0.416,0.011,8.74425776410073e-47,"Chemo-Macrophage","IL1RAPL2"
"SYT2",3.73689670613568e-50,-29.7175960351254,0.127,0.002,1.1210690118407e-46,"Chemo-Macrophage","SYT2"
"EBF4",6.52136930063278e-50,-28.3029695461167,0.151,0.005,1.95641079018983e-46,"Chemo-Macrophage","EBF4"
"CEP112.1",8.77282441312024e-50,-26.3728225886153,0.237,0.048,2.63184732393607e-46,"Chemo-Macrophage","CEP112"
"FRK.1",8.78534202115593e-50,-27.2834895857724,0.24,0.034,2.63560260634678e-46,"Chemo-Macrophage","FRK"
"IL15",1.26919649489962e-49,-3.33353205688342,0.305,0.198,3.80758948469886e-46,"Chemo-Macrophage","IL15"
"SIPA1L1.1",1.42497358743176e-49,-19.1462625530836,0.427,0.322,4.27492076229527e-46,"Chemo-Macrophage","SIPA1L1"
"ADAMTSL3.1",1.55182420367754e-49,-27.1746099818114,0.219,0.017,4.65547261103261e-46,"Chemo-Macrophage","ADAMTSL3"
"HSPH1.1",1.64890767175712e-49,-29.0913274213854,0.254,0.065,4.94672301527137e-46,"Chemo-Macrophage","HSPH1"
"BANP.1",1.72822337472353e-49,-28.4658045850212,0.298,0.207,5.18467012417059e-46,"Chemo-Macrophage","BANP"
